"","Lineages","1965-2000","2001-2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"1"," I ",12,70,1,3,3,0,0,0,3,22,0
"2"," II a",0,1,0,0,0,0,0,0,0,0,0
"3","II b_A",0,9,0,20,15,21,0,0,0,0,0
"4","II b_A.1.1",0,0,0,0,0,0,0,1,0,0,0
"5","II b_A.2.1",0,0,0,0,0,0,1,0,0,0,0
"6","II b_A.2.3",0,0,0,0,0,0,0,1,0,0,0
"7","II b_B.1",0,0,0,0,0,0,0,0,2380,51,1
"8","II b_B.1.1",0,0,0,0,0,0,0,0,301,6,0
"9","II b_B.1.2",0,0,0,0,0,0,0,0,397,30,0
"10","II b_B.1.3",0,0,0,0,0,0,0,0,116,4,0
"11","II b_B.1.4",0,0,0,0,0,0,0,0,78,0,0
"12","II b_B.1.5",0,0,0,0,0,0,0,0,82,0,0
"13","II b_B.1.6",0,0,0,0,0,0,0,0,22,2,0
"14","II b_B.1.7",0,0,0,0,0,0,0,0,230,1,0
"15","II b_B.1.8",0,0,0,0,0,0,0,0,110,0,0
"16","II b_B.1.9",0,0,0,0,0,0,0,0,42,0,0
"17","II b_B.1.10",0,0,0,0,0,0,0,0,52,2,0
"18","II b_B.1.11",0,0,0,0,0,0,0,0,153,1,0
"19","II b_B.1.12",0,0,0,0,0,0,0,0,37,3,0
"20","II b_B.1.13",0,0,0,0,0,0,0,0,44,1,0
"21","II b_B.1.14",0,0,0,0,0,0,0,0,49,0,0
"22","II b_B.1.15",0,0,0,0,0,0,0,0,12,0,0
"23","II b_B.1.16",0,0,0,0,0,0,0,0,16,0,0
"24","II b_B.1.17",0,0,0,0,0,0,0,0,51,8,0
"25","II b_B.1.18",0,0,0,0,0,0,0,0,19,0,0
"26","II b_B.1.19",0,0,0,0,0,0,0,0,20,0,0
"27","II b_B.1.20",0,0,0,0,0,0,0,0,12,182,88
"28","II b_B.1.21",0,0,0,0,0,0,0,0,14,23,2
"29","II b_B.1.22",0,0,0,0,0,0,0,0,2,39,17
"30","II b_C.1",0,0,0,0,0,0,0,0,4,64,1
"31","II b_C.1.1",0,0,0,0,0,0,0,0,0,167,23
